product_name,product_price,Rate,Review,Summary,Sentiment
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,5,simply awesome,its really worth every single penny it works like one ton ac provided that your room has proper ventilation i generally keep cooler near to window so that it can pull fresh air from outside and as a result i get very cool air one more suggestion please dont buy cooler which are equipped with a blower fan always go for the cooler equipped with metal fan like this one in one word this compton cooler is amazing if you find the review helpful please thumps up happy summer,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,4,worth the money . desert cooler live up to the name .,i bought crompton ozone 75 desert air cooler in the month of may 2018 summer at its peak i live on top floor so my house gets mare warmer in comparison to other flats placed the air cooler in hall near balcony the device is elegantly build and performs very well crompton has introduced a very good product pros1 sleek design 2 water tank excellent 3 wheel are very good in quality no problem in mobility even when the tank is full 4 child locks in wheel 5 hone,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,5,worth every penny,great packaging by seller as this was the most important point while transportation from jaipur to chennai secondly product is quite huge and air throw is very much nearly 13ft at 2 speed and will give good breeze cooling is satisfying due to honeycomb cooling media no need of filling water daily price is high but product is quite satisfactory compared to others only drawback is the motor power is 190 w rather than 220w which should be coorected on specs information on flipkart good j,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,3,ok kind of cooler..not effective in hot conditions,delivery was on time flipkart service was awesome on time but the cooler doesnt seem to be so costly as it doesnt cool really well even after filling it up with full water it can be ok during warm nights but it wont make you feel any ease in hot conditions the plastic build also looks very cheap and below standard i am ok with it but not very satisfied,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,1,don't waste your money,water pump is not throwing a lot of water thats why its throwing warm air not satisfied with this kind of pump quality i have paid a lot for this not worth the money there is no work of ice chamber i need a partial refund,negative
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,4,nice product,a good cooler by crompton the height of the cooler is about 3ft 10 inch color is nice plastic body is average air blow is good at any stage 12 or 3 air swing is also 3 choice when you switch it on for the first time after filling the water you will feel the nice cold air you will feel cool if you use it according to the weather there is a ice tray on the top overall a good cooler i will give 45 for design 35 for plastic body 45 for fan speed 45 for fan swing,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,3,nice,very bad ever packageing by flipkart i have seen when i open its outer layer its been already open looks like used product air throw quality is not good as expected its water meter is very top of its water tank if you want to see its minimum level of water then u have to fill atlest 50 liter of water no any support of up and down its air wing and its not cover very much area overall just ok not very satisfied,negative
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,5,mind-blowing purchase,great product this come with very nice packing by seller not a single crack or scratch in it also its brand new mfg and truly original generally people avoid this type of stuff online but i try also have return policy for any damage so i ordered it and within 3 days they delivered this amazing room cooler now come in price range its little costly but crompton didnt compromise quality major features already you can see in description other than this fan is little noisy and its wit,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,4,value-for-money,crompton offers this range of coolers ozone with multiple capacity of water tank though the fan motor and air flow capacity remains the same which should not have been the case i bought the 88 litre model satisfied with cooling but the castor wheels are not strong enough for the weight of 88 litre filled water tank suggestion is to go for 75 litre instead of 88 litre variant,negative
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,1,unsatisfactory,its vertical swing quality is bad when you set to upward then automatically it goes to down due to this air goes to down we cant set direction as we wantvertical swing is uselesswater filling opening box is too small when u fill with jug many water goes to outside cooler ice chamber is useless ice cube water goes to 88 liter chamber how some ice can cool 88 ltr ice chamber need to direct connect to honeycomb pad and slides that it cool instantlyit make some noise too during,negative
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,1,utterly disappointed,never purchase cooler from flipkartmy 10500 wastedpump not working honey comb drynot giving cool airthe up and down slider is also not working when you manually do it up it will go down itself after few minutes giving only air in downwardi am a regular flipkart customer and was trusting flipkart but after this cooler purchasing experience i hate flipkart from now and ill never do any order at flipkartive requested for return that was 7 days replacement policy buttechnician came and,negative
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,1,did not meet expectations,it is old model and dont have outlet for draining dirty water we have to clean it manually and do lot of physical work usually the water becomes stinky once in a month we have to remove the screws and use motor to pump out the water the screws are not stainless steel so they get rusted easily and makes it difficult to remove the wheels get stuck within a month theres no manual how to remove and clean honeycomb the only positive point is its air throwing capacity and ability to cool,negative
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,5,best in the market!,very good productreliable product from the brand not disappointed this tym after returning usha air king which was a wasteyou can go for this one for sure good air thrownice cooling ice chamber castor wheel evrythng working just great only one thing which i want to highlt is just the front louver the osclitor is good working perfectly but the front oscltor should hve been better overall great buy go for it,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,3,decent product,value for money but bit noisy good enough for large rooms need good air cross section water capacity is hugegood air throw noisy enough to keep outside cant watch tv while cooler is in room,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,1,did not meet expectations,dont buythe smell which comes from cooler is unbearable sensitive persons might get breathing issues coming to performance it is a table fan which sounds like a generator you will regret after buying once bought you cant return,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,1,hated it!,very bad quality very poor plastic material very cheap product showing it fr 17k and then discounting it and selling fr 10k still costly as per product received just fooling people in the name of brand third class product very much disappointed from flipkart requested for return and refund on the same day refund request rejected now forced to replace the product never buy crompton and use flipkart for buying,negative
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,2,slightly disappointed,cooling wise its good but when we taking about noise its too noisy the water dropping noise will irritate youalso it comes with only honey comb pad its big disadvantage is the insect will easily inter through holein this price range go for bluestar windus cooler it is coming with hybrid pad,negative
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,5,terrific purchase,good product good pricing and good performancei love flipkartthanks,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,1,waste of money!,this is worst produc air flow speed is very slow cooler outer body was very like already usedit was not expected from flipkart,negative
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,4,really nice,really very good productcovers entire roomguys you can take this product without any confusionthanks to flipkart for best bank instant discount offer,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,5,good product. recommended,good product recommended for usage,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,2,damaged,got a damaged one,negative
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,2,moderate,this air cooler does not proper cooling than other metal body cooler,neutral
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,5,awesome,very good,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,2,slightly disappointed,normal fin cooler,neutral
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,5,mind-blowing purchase,cooling level is very highno need of ac if you have this cooler,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,1,not recommended at all,not good,negative
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,1,waste of money!,not working after3 months,negative
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,5,excellent,the best exper,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,4,very good,sound of awesome base is good build design good battery life super call quality excellent worth of money,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,5,excellent,trimendus bass with 50mm driver awesome trendy design good bluetooth coverage nice battery backup i love it,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,4,good choice,good for pubg headphone buy it if gamer hd footsteps i cant say lag in wirless playits okay i never felt lag aux can be used if as well comforts no ear pain for hours music movies long battery backup lasts a week and morenot that good overpriced boat could have improved the sound this price portabily cant fold or carry it safely not recommended for those who like to travel and carry it with overallme bought for pubg gamingwatch movieslong lastin,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,2,does the job,the sound quality of this headphone is okdesign is also good but in order to comfort it is not that good after the use of 1hr your ear hurts too much i feel ear pain for 4 to 5 min after removing headphonethe bluetooth connection also not good it wont work within 3 meters also i there is barrier like doorfeeling bad about bluetooth after 2week use bluetooth not working properly with wire also it is not working properly sometimes one speaker stops working it,negative
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,1,horrible,please dont buy this headphones at all if you are transitioning from higher brand to this headphones you wont like it even a little bit i am a music guy and i know whats great and whats not this boat headphone is not even near between good firsttime buyers dont even consider other reviews trust me boat rockerz 400 sounds better than this 510 headphone,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,5,awesome,i am giving this review after 12 days of purchasing thisusefulness1 super sound quality even in melody songs2 bass is really awesome i very much like the powerful vibrations during beats 3 seeing battery backup i am shocked 10 day continuous playing without charging really shocking4 build quality and look is very dashing and i like the glossy appearance5 adjustable for big and small heads6 connectivity is superb taking 12 seconds to connect7 bluetooth and aux both conne,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,4,good choice,wonderful job by boat comfortable for ears optimum sound good clarity and great utility the most amazing feature of this headphone is its battery backupjust as advertised bought this as a gift for my brother hes having a great time and dear flipkart thank you for the fast delivery,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,3,not that bad..,good producthas good bassgood sound quality but cannot be used for long timenot that much comfortable on anyway can be used for some tym,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,4,good quality product,good finish at the top of the headset the sound is very punchy bass is good but it is a little bit heavy feels on the head in initial time it starts pain on your ears after some time it feels better so i think it is better to try one a time,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,5,terrific purchase,amaizng bass battery backup very good design superb and gym lover also love it,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,5,mind-blowing purchase,very nice quality the built in design is more than up to the mark the sound quality is awesome and is worth buying,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,5,best in the market!,super product looking smart and sound quality is superb base is extraordinary im satisfied in this purchase,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,4,good choice,its a very useful fantastic product when i connected with bluetooth with my phone and listened the song ek ladki ko dekha to aisa laga in youtube i felt its sound is very pure and very sweet,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,5,super!,great bt headsets for bass heads battery life is good built quality is also nice give it a time for 34 days to open up not for people looking for crisp sound good for bass type music and general video watching overall it is value for money product go for it,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,5,great product,reviewing after 15 days i have to say this is the best headphone u can get under 2000 battery backup is superb it is nearly around 10 hours build is superb soft ear cups the only think i dont like is that these r not foldable thats sit although value for money i got it around 1300 during bbd,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,5,super!,battery backup is awesome it works without charging for couple of weeks on using 12 hours daily sound quality is awesome and its same as compared to mi wired headphones may be little but more design is awesome but wearing it more than 3045 minutes it starts to hurt your ears cusion could have been much softer overall its best out there and recommended to anyone,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,3,just okay,i think it has average quality sound but base is good in this price range mot important feature is i use it when battery is low and it work properly battery life is good,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,5,perfect product!,i am highly impressed with this product it is best in every aspects specially for wfh and online classes anyone can talk on call easily i am highly impressed with delivery experience specially open box delivery,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,3,fair,purchased on 6 october 2021 honest review on 20 september plastic build is solid and not much flexible not foldable too nd too much treble no bass is there u cant listen to anything at full volume headache cushioning are ok okwhen any bass comes it started to make abnormal noises,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,3,honest review!,i am using this headphone for like a week and below are the problems i faced with this headphonenot comfortable yes it is not comfortable my ear hurts after using them for like 12 hours they should have made foam more way betterfake battery promises they say the battery lasts more than 10 hours but it is a big lie my headphone battery works only for like 45 hoursheadphone turns off immediately on low battery this headphone does not alert a user before some time tha,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,2,bad quality,very good product happy with its sound quality and look reason for 2 stars is that its heavy weight and its larger size makes me uncomfortable while using it and its very tight for my ears in fact i got pain in my ears while using it for 1 hour only for feeling comfortable i had to increase its size and that doesnt fit in my headthere is a second reason also that we cant carry it out of our home due to its larger lookproduct is good for home base use,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,2,could be way better,i bought this specifically for gaming sound quality is not up to the mark cant distinguish between footsteps in games like pubg i have used boat earphones and trust me they are way better than this build quality is good but not for gaming as advertised,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,2,moderate,before buying i read many reviews everybody says its good dealbut its disappointe mesound quality not good i am use senhisser cx 180 earphone and its awesomeboat 510 sound not clear and after use some time pain in ear the problum in their design boat 600 design much better,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,5,mind-blowing purchase,no words to say an extra ordinary product pretty good sound quality and good looking also just go for it guys,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,5,simply awesome,awesome headphone in this price segment the sound quality is good for itself the design is cool and it looks like a gaming one as i am a gamer the packaging is good enough i got this product in its best price on big billion day with codthe only thing is that we can use this as a wired too thats pretty cool but when i use it for gaming purpose there is no mic for this i cannot talk with others i dont know why this but the product is awesome you guys can definitely go for it,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,4,wonderful,too good product this headphone boat rockerz 510 is too good this product is value for your money i would recommend this product for people who want headphones for listening music although the sound quality of this product is excellent but is audio jack is not so good nevertheless ive given it 4 stars because its bluetooth connectivity is better as compared to other bluetooth headphones and its sound quality is excellent at the beginning you would find some problems with its bluetoot,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,4,wonderful,pros1 connectivity with bluetooth and aux2 noise cancellation3 cushioning is great4 bass is best in class no other headphone can beat its bass these headphones have better durability5 seller and flipkart did there work effectively with early delivery than the promised date6 amazing battery life7 overall sound quality is good with responsive lowmid and high8 can play different geners effectivelycons1 not comfortable for long time2 fix design cannot flip and,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,3,just okay,not comfortable over the head sound quality is not that much good that i expected and ear comforter is not good sometimes comming out and not fitting covering ear llp,negative
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,5,terrific,my god better than expected dont explain by words im telling you the truth that this is the one only best headphones over the head i give my review after 15 days check all of its functions all are amazing the bass is vibrate all your ears the sound quality is crystal clear battery backup oh god just amazing the build up quality is dashing give you a handsome looktrust me dont read any review after this one this product is worth its price value for money,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,5,worth every penny,amazing product really in love with this headphone bass is just awesome and as mantioned about crystal clear sound its really crystal clear,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,3,decent product,not worth the money very low bass but comfortable rockers 410 is better than this one in terms of bass but the comfort youll not get there this one has a better microphone than the 410 so if you need better sound experience go for 410 if you need comfort and a good mic go for this one you cannot fold this also which you can in 410,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,3,does the job,should work on good colours as all choices available look really bad plus its not very easy to fit and gives some pain after long use the best thing about it is its battery backup using it daily for at least an hour for last one week but dont need to charge it yet the sound quality is okay types if you are very particular about sound and bass then avoid it but you cant expect much in this price range as well,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,4,really nice,i got it in 1499 i am mad sure that i cant get better headphones than it in this price range although its not foldable but its plastic looks premium and very long lasting sound quality and clarity is also very good so why do you think more open flipkart and order it it s my 2nd gf also it will impress you after using a month i am reviewing 1in this price range none can beat its battery life 2its thumpin,positive
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,5,terrific,wow super exelent super sound super charger 90 min charge 48 hoursvery nice,positive
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,4,good choice,this product is very good for show off sound quality is better then other neckband very good for looks,positive
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,5,just wow!,nice sound and good quality works just fine till now battery life is good happy to use,positive
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,3,fair,build quality is not up to the mark unfinished edges gives a cheap look to the product also neckband is not so flexible like aroma 119 pro overall sound and battery backup is good in this price ranges but product bulid quality lack behind,negative
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,1,unsatisfactory,good,positive
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,3,does the job,nice quality,positive
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,1,absolute rubbish!,very unsatisfied after 15 days speaker is spoil cant hear pls guys dont buy,negative
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,4,very good,good sound quality good bataey back up good for value for money,positive
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,1,don't waste your money,bad product,negative
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,5,brilliant,nice in low range bluetooth,positive
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,5,worth every penny,very nice,positive
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,1,useless product,very average product stoped working after 2 months,neutral
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,4,very good,i used this nackband since yesterdayi loved this nackbandbass5sound quality 4design 4,positive
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,5,just wow!,nice,positive
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,5,simply awesome,nice,positive
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,1,just wow!,loved it,positive
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,5,terrific,good,positive
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,4,good choice,best hai,positive
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,3,decent product,this price this product good,positive
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,4,pretty good,best,positive
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,2,bad quality,bad,negative
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,2,not good,connecting short range,neutral
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,5,fabulous!,nice,positive
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,5,worth every penny,good product bettry is very powerful looking gorgeous,positive
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,2,bad quality,i buy it overall good but after a few days its one box is not working,positive
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,2,could be way better,very bed poudect,negative
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,1,unsatisfactory,bad product sound bass music bad,negative
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,2,slightly disappointed,sound problem connection problem,negative
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,4,wonderful,nice to bittry backup,positive
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)",499,5,mind-blowing purchase,good product sound nice,positive
